POS	Word	SenseKey	Sense Number	Total Senses	BNC Count	Tag Count	Sum Tag Count	Synset	Gloss
n	time	time%1:28:03::	7	10	183427	7	595	SID-15154879-N----{clock_time, time}	a reading of a point in time as given by a clock; "do you know what time it is?"; "the time is 10 o'clock"
n	year	year%1:28:01::	1	4	163930	426	450	SID-15228587-N----{year, twelvemonth, yr}	a period of time containing 365 (or 366) days; "she is 4 years old"; "in the year 1920"
n	people	people%1:14:00::	1	4	125430	257	289	SID-07958392-N----{people}	(plural) any group of human beings (men or women or children) collectively; "old people"; "there were at least 200 people in the audience"
n	way	way%1:04:01::	2	12	112636	61	380	SID-00173531-N----{means, agency, way}	thing or person that acts to produce a particular effect or achieve an end; "a means of control"; "an example is the best agency of instruction"; "the true way to success"
n	way	way%1:04:00::	5	12	112636	19	380	SID-00416689-N----{way, path, way_of_life}	a course of conduct; "the path of virtue"; "we went our separate ways"; "our paths in life led us apart"; "genius usually follows a revolutionary path"
n	lily	lily%1:20:00::	1	1	0	0	0	SID-12446753-N----{lily}	any liliaceous plant of the genus Lilium having showy pendulous flowers
n	man	man%1:05:01::	4	11	97985	29	1218	SID-02474924-N----{homo, man, human_being, human}	any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage
n	man	man%1:18:00::	1	11	97985	749	1218	SID-10306910-N----{man, adult_male}	an adult person who is male (as opposed to a woman); "there were two women and six men on the bus"
n	day	day%1:28:00::	1	10	92699	169	349	SID-15180180-N----{day, twenty-four_hours, twenty-four_hour_period, 24-hour_interval, solar_day, mean_solar_day}	time for Earth to make a complete rotation on its axis; "two days later they left"; "they put on two performances every day"; "there are 30,000 passengers per day"
n	child	child%1:18:01::	2	4	71008	65	214	SID-09937706-N----{child, kid}	a human offspring (son or daughter) of any age; "they had three children"; "they were able to send their kids to college"
n	government	government%1:14:00::	1	4	66894	100	108	SID-08067430-N----{government, authorities, regime}	the organization that is the governing authority of a political unit; "the government reduced taxes"; "the matter was referred to higher authorities"
n	role	role%1:09:00::	2	4	21016	10	58	SID-05937794-N----{character, role, theatrical_role, part, persona}	an actor's portrayal of someone in a play; "she played the part of Desdemona"
n	part	part%1:24:00::	1	13	65773	113	234	SID-13831419-N----{part, portion, component_part, component, constituent}	something determined in relation to something that includes it; "he wanted to feel a part of something bigger than himself"; "I read a portion of the manuscript"; "the smaller component is hard to reach"; "the animal constituent of plankton"
n	life	life%1:26:02::	3	14	64423	41	256	SID-13984685-N----{life}	the course of existence of an individual; the actions and events that occur in living; "he hoped for a new life in Australia"; "he wanted to live his own life without interference from others"; "get a life!" "he is trying to rebuild his life"
n	case	case%1:11:00::	1	20	63577	72	165	SID-07323507-N----{case, instance, example}	an occurrence of something; "it was a case of bad judgment"; "another instance occurred yesterday"; "but there is always the famous example of the Smiths"
n	case	case%1:04:00::	3	20	63577	19	165	SID-01185144-N----{lawsuit, suit, case, cause, causa}	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy; "the family brought suit against the landlord"
n	case	case%1:06:01::	20	20	63577	0	165	SID-02978671-N----{case, display_case, showcase, vitrine}	a glass container used to store and display items in a shop or museum or home
n	subject	subject%1:18:01::	6	8	29091	2	62	SID-10688105-N----{subject, case, guinea_pig}	a person who is subjected to experimental or other observational procedures; someone who is an object of investigation; "the subjects for this investigation were selected randomly"; "the cases that we studied were drawn from two different communities"
n	woman	woman%1:18:00::	1	4	63087	143	144	SID-10807146-N----{woman, adult_female}	an adult female person (as opposed to a man); "the woman kept house while the man hunted"
n	work	work%1:04:01::	3	7	62248	27	212	SID-00585404-N----{employment, work}	the occupation for which you are paid; "he is looking for employment"; "a lot of people are out of work"
n	work	work%1:06:02::	7	7	62248	0	212	SID-03846937-N----{oeuvre, work, body_of_work}	the total output of a writer or artist (or a substantial part of it); "he studied the entire Wagnerian oeuvre"; "Picasso's work can be divided into periods"
n	work	work%1:06:01::	6	7	62248	3	212	SID-04609402-N----{workplace, work}	a place where work is done; "he arrived at work early today"
n	system	system%1:14:00::	2	9	61912	23	112	SID-08452398-N----{system, scheme}	a group of independent but interrelated elements comprising a unified whole; "a vast system of production and distribution and consumption keep the country going"
n	number	number%1:07:00::	1	12	60607	131	211	SID-05128718-N----{number, figure}	the property possessed by a sum or total or indefinite quantity of units or individuals; "the number of parameters is small"; "the figure was about a thousand"
n	number	number%1:10:01::	5	12	60607	2	211	SID-06820056-N----{numeral, number}	a symbol used to represent a number; "he learned to write the numerals before he went to school"
n	number	number%1:10:03::	4	12	60607	5	211	SID-06437781-N----{phone_number, telephone_number, number}	the number is used in calling a particular telephone; "he has an unlisted number"
n	world	world%1:17:00::	4	8	59094	26	167	SID-09293800-N----{Earth, earth, world, globe}	the 3rd planet from the sun; the planet we live on; "the Earth moves around the sun"; "he sailed around the world"
n	world	world%1:14:02::	5	8	59094	16	167	SID-08196607-N----{populace, public, world}	people in general considered as a whole; "he is a hero in the eyes of the public"
n	world	world%1:09:00::	3	8	59094	31	167	SID-05817904-N----{world, reality}	all of your experiences that determine how things appear to you; "his world was shattered"; "we live in different worlds"; "for them demons were as much a part of reality as trees were"
n	world	world%1:17:01::	1	8	59094	49	167	SID-09489410-N----{universe, existence, creation, world, cosmos, macrocosm}	everything that exists anywhere; "they study the evolution of the universe"; "the biggest tree in existence"
n	area	area%1:07:00::	6	6	58449	5	215	SID-05135784-N----{area, expanse, surface_area}	the extent of a 2-dimensional surface enclosed within a boundary; "the area of a rectangle"; "it was about 500 square feet in area"
n	course	course%1:17:00::	5	9	57776	5	100	SID-09410115-N----{path, track, course}	a line or route along which something travels or moves; "the hurricane demolished houses in its path"; "the track of an animal"; "the course of the river"
n	course	course%1:04:00::	4	9	57776	9	100	SID-00039000-N----{course, course_of_action}	a mode of action; "if you persist in that course you will surely fail"; "once a nation is embarked on a course of action it becomes extremely difficult for any retraction to take place"
n	course	course%1:04:01::	1	9	57776	61	100	SID-00886144-N----{course, course_of_study, course_of_instruction, class}	education imparted in a series of lessons or meetings; "he took a course in basket weaving"; "flirting is not unknown in college classes"
n	company	company%1:14:02::	4	9	57754	5	105	SID-08203951-N----{company, troupe}	organization of performers and associated personnel (especially theatrical); "the traveling company all stayed at the same hotel"
n	company	company%1:26:00::	3	9	57754	6	105	SID-13952621-N----{company, companionship, fellowship, society}	the state of being with someone; "he missed their company"; "he enjoyed the society of his friends"
n	problem	problem%1:09:00::	3	3	56483	17	206	SID-05695143-N----{trouble, problem}	a source of difficulty; "one trouble after another delayed the job"; "what's the problem?"
n	problem	problem%1:10:00::	2	3	56483	38	206	SID-06796860-N----{problem}	a question raised for consideration or solution; "our homework consisted of ten problems to solve"
n	service	service%1:04:01::	3	15	54468	5	46	SID-01034072-N----{service, religious_service, divine_service}	the act of public worship following prescribed rules; "the Sunday service"
n	service	service%1:14:00::	6	15	54468	2	46	SID-08215077-N----{military_service, armed_service, service}	a force that is a branch of the armed forces
n	service	service%1:04:05::	14	15	54468	0	46	SID-00268956-N----{overhaul, inspection_and_repair, service}	periodic maintenance on a car or machine; "it was time for an overhaul on the tractor"
n	service	service%1:04:00::	2	15	54468	8	46	SID-01212066-N----{service}	an act of help or assistance; "he did them a service"
n	hand	hand%1:08:00::	1	14	53265	215	232	SID-05572223-N----{hand, manus, mitt, paw}	the (prehensile) extremity of the superior limb; "he had the hands of a surgeon"; "he extended his mitt"
n	hand	hand%1:04:00::	14	14	53265	0	232	SID-01210950-N----{hand, helping_hand}	physical assistance; "give me a hand with the chores"
n	hand	hand%1:10:01::	12	14	53265	0	232	SID-06704983-N----{hand}	a round of applause to signify approval; "give the little lady a great big hand"
n	hand	hand%1:14:00::	6	14	53265	1	232	SID-07973501-N----{hand, deal}	the cards held in a card game by a given player at any given time; "I didn't hold a good hand all evening"; "he kept trying to see my hand"
n	hand	hand%1:18:00::	2	14	53265	5	232	SID-10196310-N----{hired_hand, hand, hired_man}	a hired laborer on a farm or ranch; "the hired hand fixed the railing"; "a ranch hand"
n	party	party%1:14:01::	1	5	52979	29	62	SID-08273889-N----{party, political_party}	an organization to gain political power; "in 1992 Perot tried to organize a third party at the national level"
n	party	party%1:14:00::	2	5	52979	14	62	SID-08269523-N----{party}	a group of people gathered together for pleasure; "she joined the party after dinner"
n	school	school%1:14:03::	6	7	52227	0	148	SID-08294314-N----{school}	an educational institution's faculty and students; "the school keeps parents informed"; "the whole school turned out for the game"
n	school	school%1:06:00::	2	7	52227	12	148	SID-04153115-N----{school, schoolhouse}	a building where young people receive education; "the school was built in 1932"; "he walked to school every morning"
n	place	place%1:15:00::	1	16	51537	77	193	SID-08682181-N----{topographic_point, place, spot}	a point located with respect to surface features of some region; "this is a nice place for a picnic"; "a bright spot on a planet"
n	place	place%1:15:03::	11	16	51537	2	193	SID-08665191-N----{seat, place}	a space reserved for sitting (as in a theater or on a train or airplane); "he booked their seats in advance"; "he sat in someone else's place"
n	point	point%1:25:02::	9	26	49187	2	154	SID-13934887-N----{point, dot}	a very small circular shape; "a row of points"; "draw lines between the dots"
n	point	point%1:25:00::	8	26	49187	3	154	SID-13925175-N----{point, tip, peak}	a V shape; "the cannibal's teeth were filed to sharp points"
n	point	point%1:09:01::	4	26	49187	17	154	SID-05825971-N----{detail, item, point}	an isolated fact that is considered separately from the whole; "several of the details are similar"; "a point of information"
n	degree	degree%1:07:00::	1	7	12996	25	69	SID-05101152-N----{degree, grade, level}	a position on a scale of intensity or amount or quality; "a moderate grade of intelligence"; "a high level of care is required"; "it is all a matter of degree"
n	period	period%1:10:00::	7	7	28300	0	96	SID-06856570-N----{period, point, full_stop, stop, full_point}	a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations; "in England they call a period a stop"
n	house	house%1:14:05::	10	12	49022	0	164	SID-08094856-N----{family, household, house, home, menage}	a social unit living together; "he moved his family to Virginia"; "It was a good Christian household"; "I waited until the whole house was asleep"; "the teacher asked how many people made up his home"; "the family refused to accept his will"
n	firm	firm%1:14:00::	1	1	15767	26	26	SID-08076706-N----{firm, house, business_firm}	the members of a business organization that owns or operates one or more establishments; "he worked for a brokerage house"
n	sign	sign%1:15:00::	5	11	10808	2	36	SID-08703415-N----{sign_of_the_zodiac, star_sign, sign, mansion, house, planetary_house}	(astrology) one of 12 equal areas into which the zodiac is divided
n	house	house%1:06:00::	1	12	49022	157	164	SID-03549540-N----{house}	a dwelling that serves as living quarters for one or more families; "he has a house on Cape Cod"; "she felt she had to get out of the house"
n	house	house%1:14:02::	5	12	49022	1	164	SID-08179924-N----{house}	an official assembly having legislative powers; "a bicameral legislature has two houses"
n	country	country%1:15:01::	4	5	48177	11	123	SID-08662297-N----{country, rural_area}	an area outside of cities and towns; "his poetry celebrated the slower pace of life in the country"
n	country	country%1:14:00::	1	5	48177	68	123	SID-08185877-N----{state, nation, country, land, commonwealth, res_publica, body_politic}	a politically organized body of people under a single government; "the state has elected a new president"; "African nations"; "students who had come to the nation's capitol"; "the country's largest manufacturer"; "an industrialized land"
n	week	week%1:28:02::	3	3	47512	1	107	SID-15161099-N----{week, calendar_week}	a period of seven consecutive days starting on Sunday
n	member	member%1:18:00::	1	5	47141	67	78	SID-10326901-N----{member, fellow_member}	one of the persons who compose a social group (especially individuals who have joined and participate in a group organization); "only members will be admitted"; "a member of the faculty"; "she was introduced to all the members of his family"
